-3000,エジプト文明が起こる
-3000,メソポタミア文明が起こる
-2500,インダス文明が起こる
-1600,中国文明が起こる(殷の成立)
-8世紀,ギリシャにポリスが現れる
-6世紀,儒教の始まり
-6世紀,仏教の始まり
-334~-324,アレクサンドロス大王が東方遠征開始(範囲回答)
-221,秦の始皇帝が中国を統一する
-202,漢(前漢)が中国を統一する
-27,ローマ帝国が成立する
-4,イエス＝キリストが誕生する
25,後漢が中国を統一する
375,ゲルマン人の大移動が始まる
395,ローマ帝国が東西に分裂する
610,イスラム教が始まる
57,奴国が後漢に使いを送る
239,卑弥呼が魏に使いを送る
487,倭王武が中国(南朝の宋)に使いを送る
538,仏教が公式に伝わる
589,隋が中国を統一する
593,聖徳太子が摂政となる
603,冠位十二階が制定される
604,十七条の憲法が制定される
607,小野妹子らを隋に送る
618,唐が中国を統一する
630,第一回遣唐使が派遣される
645,大化の改新が始まる
663,白村江の戦いが起こる
672,壬申の乱がおこる
676,新羅が朝鮮半島を統一する
701,大宝律令が制定される
708,和同開珎が発行される
710,平城京に都を移す
712,古事記ができる
720,日本書紀ができる
723,三世一身の法が出される
743,墾田永年私財法が出される
784,長岡京に都を移す
794,平安京に都を移す
866,藤原良房が摂政となる
887,藤原基経が関白となる
894,遣唐使が停止される
907,唐が滅亡する
936,顧慮が朝鮮半島を統一する
960,宋(北宋)が建国される
1016,藤原道長が摂政となる
1069,荘園整理令が出される
935~940,平将門の乱が起こる(範囲回答)
1051~1062,前九年合戦が起こる(範囲回答)
1083~1087,後三年合戦がおこる(範囲回答)
1086,院政が始まる
1156,保元の乱が起こる
1159,平治の乱が起こる
1167,平清盛が太政大臣になる
1185,平氏が滅びる
1185,守護・地頭の設置が認められる
1189,源頼朝が奥州藤原氏を滅ぼす
1192,源頼朝が征夷大将軍となる
1206,チンギス＝ハンがモンゴルを統一する
1221,承久の乱がおこる
1232,御成敗式目が制定される
1271,フビライ＝ハンが国号を元とする
1274,文永の役がおこる
1281,弘安の役がおこる
1297,永仁の徳政令が出される
1333,鎌倉幕府が滅びる
1334,建武の新政が始まる
1336,南北朝の動乱が始まる
1338,足利尊氏が征夷大将軍となる
1368,明が建国される
1378,足利義満が室町に幕府を移す
1392,朝鮮国が成立する
1392,南朝と北朝が統一する
1404,勘合貿易が始まる
1428,正長の土一揆がおこる
1429,琉球王国が成立する
1467~1477,応仁の乱がおこる(範囲回答)
1485~1493,山城の国一揆が起こる(範囲回答)
1488~1580,加賀の一向一揆が起こる(範囲回答)
1096,第一回十字軍が派遣される
14世紀,ルネサンスが始まる
1492,コロンブスが西インド諸島に到達する
1498,バスコ＝ダ＝ガマがインドに到達する
1517,宗教改革が始まる
1519,マゼラン一行が世界周航に出発する
1543,日本にてっぽが伝来する
1549,日本にキリスト今日が伝来する
